feature,importance_split,importance_gain,gain_pct
CITY,52677,944819.7701883316,13.640277266445096
VILLAGE,46931,862012.9496672153,12.444802714472464
DISTRICT,28061,538796.3007173538,7.778553290067894
Non_Agriculture_Income,44468,339868.8130171299,4.906655205624199
Avg_Disbursement_Amount_Bureau,38134,238966.4936363697,3.4499375790374693
land_per_proximity_mandi,35218,219671.0994167328,3.1713717240186368
irrigation_to_land_ratio,33895,218961.7221710682,3.1611305091090003
credit_activity_score,32768,203537.67080426216,2.9384548794773413
Total_Land_For_Agriculture,22992,195253.23354649544,2.8188532107168736
non_agri_log,13183,103143.36449337006,1.4890713914709224
land_log,6853,73012.14539408684,1.0540697161690766
Land_Holding_Index_source_Total_Agri_Area_no_of_people,9212,57315.57008123398,0.8274596830637445
K022_Proximity_to_nearest_railway_Km,8761,54864.95291137695,0.7920803454107043
Kharif_Seasons_Cropping_density_in_2022,8595,54098.5616645813,0.7810160245415658
State,1286,52672.48000407219,0.7604278130458864
No_of_Active_Loan_In_Bureau,8688,52006.43038272858,0.7508121151159767
Perc_of_house_with_6plus_room,7777,49746.75615310669,0.7181894033603374
Kharif_Seasons_Agricultural_performance_in_2021,7794,48951.426907777786,0.7067073072329074
K022_Net_Agri_area_of_total_geog_area,7823,48796.432747364044,0.7044696706069274
Rabi_Seasons_Cropping_density_in_2020,7758,48777.79564976692,0.7042006085204982
perc_Households_with_Pucca_House_That_Has_More_Than_3_Rooms,7669,48735.16510939598,0.7035851552784878
Rabi_Seasons_Cropping_density_in_2022,7561,47669.72837281227,0.688203541815889
Rabi_Seasons_Agricultural_performance_in_2020,7565,47591.99553775787,0.6870813199315634
Rabi_Seasons_Agricultural_performance_in_2021,7560,47505.630749464035,0.6858344793217919
K022_Total_Geographical_Area_in_Hectares,7458,46492.84466505051,0.6712129785457824
Kharif_Seasons_Agricultural_performance_in_2020,7385,46395.13915705681,0.6698024129950348
delta_agr_score_kharif_20_21,7353,46356.65787124634,0.6692468621645102
Kharif_Seasons_Irrigated_area_in_2022,7130,45955.80990743637,0.6634598564936107
perc_of_Wall_material_with_Burnt_brick,6888,45072.981811761856,0.6507145474054999
delta_agr_score_kharif_21_22,7036,44927.74844479561,0.6486178264685915
Kharif_Seasons_Agricultural_performance_in_2022,7066,44830.96847105026,0.6472206227717819
Rabi_Seasons_Agricultural_performance_in_2022,6978,43730.38451600075,0.6313315921062999
perc_Households_do_not_have_KCC_With_The_Credit_Limit_Of_50k,6731,43307.27685832977,0.6252232252555111
K022_Net_Agri_area_in_Ha,6854,43112.04184412956,0.6224046350758429
Rabi_Seasons_Cropping_density_in_2021,6873,43020.60831642151,0.6210846175352082
Rabi_Seasons_Season_Irrigated_area_in_2022,6712,42820.433681964874,0.6181947145062384
Kharif_Seasons_Cropping_density_in_2020,6537,41324.18975973129,0.5965935768062608
Rabi_Seasons_Kharif_Season_Irrigated_area_in_2020,6461,40926.31696271896,0.5908495233483803
Kharif_Seasons_Agricultural_Score_in_2021,6415,40605.670645713806,0.5862203815729674
mat_roof_Metal_GI_Asbestos_sheets,6038,39847.778005599976,0.5752787543171257
K022_Proximity_to_nearest_mandi_Km,6243,38975.21157217026,0.562681591915452
KO22_Village_score_based_on_socio_economic_parameters_0_to_100,6131,38678.499521017075,0.5583979869637707
Ownership,6308,38525.54570102692,0.5561898065472964
Rabi_Seasons_Agricultural_Score_in_2020,6021,37891.812500953674,0.5470406578580945
Kharif_Seasons_Agricultural_Score_in_2022,5977,37713.93981194496,0.5444727259913393
Rabi_Seasons_Agricultural_Score_in_2022,5850,37033.8755736351,0.5346547003083126
Rabi_Seasons_Kharif_Season_Irrigated_area_in_2021,5859,36694.071162462234,0.5297489748662687
Road_density_Km_SqKm,5856,36693.24128842354,0.5297369940500949
composite_village_quality,5505,36466.0616774559,0.5264572226263196
Kharif_Seasons_Kharif_Season_Irrigated_area_in_2020,5677,35922.272089242935,0.518606581697889
trend_gw_kharif_3yr,5439,34579.995809316635,0.4992282608751593
Rabi_Seasons_Agricultural_Score_in_2021,5421,34499.92189478874,0.4980722410389609
Kharif_Seasons_Agricultural_Score_in_2020,5287,33724.9713306427,0.48688435008211417
K021_Seasonal_Average_Rainfall_mm,5054,32919.71520328522,0.47525894045984257
R021_Seasonal_Average_Rainfall_mm,5024,32821.78423881531,0.47384512001441126
SEX,1925,32708.037867307663,0.47220297397304817
delta_gw_kharif_20_21,4918,31517.88313651085,0.4550208181479177
avg_agr_score_kharif_3yr,4932,31409.032546281815,0.45344935205651254
Zipcode,4012,30833.640857219696,0.4451424744664606
Women_15_19_Mothers_or_Pregnant_at_time_of_survey,4519,30593.33439540863,0.4416731918885061
R020_Seasonal_Average_Rainfall_mm,4618,29966.92733502388,0.43262981001303624
R022_Seasonal_Average_Rainfall_mm,4443,28824.769297599792,0.41614057809374866
Households_with_improved_Sanitation_Facility,4128,28293.09515452385,0.40846484674711325
avg_agr_score_rabi_3yr,4418,28188.547141075134,0.4069554965661658
delta_kharif_rainfall_21_22,4340,28185.296006917953,0.40690856023742505
delta_gw_kharif_21_22,4318,28126.48050069809,0.40605944611246825
perc_of_pop_living_in_hh_electricity,4044,27941.201596021652,0.40338459138233695
delta_rabi_rainfall_20_21,4108,26911.009483098984,0.3885118013525844
avg_agr_score_combined,3945,25431.799514055252,0.3671565812887363
K022_Seasonal_Average_Rainfall_mm,3899,25304.205822467804,0.3653145227442214
Rabi_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2020,3807,24634.184813976288,0.355641490258517
Kharif_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2020,3694,24402.21316051483,0.35229253655220405
Night_light_index,3911,24155.62127518654,0.3487325118854225
Kharif_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2021,3683,23903.298953056335,0.34508975742264997
Kharif_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2022,3591,23615.666216135025,0.34093722970645807
Kharif_Seasons_Seasonal_average_groundwater_thickness_cm_in_2020,3635,23566.56955766678,0.34022842570436845
Rabi_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2022,3478,22532.918164491653,0.32530569435958984
K021_temp_range,3178,20677.529676675797,0.2985196191637523
R021_temp_max,3051,20238.79527425766,0.292185650417397
K022_temp_range,2964,19477.346889972687,0.2811926892056906
R022_temp_max,2880,19190.71766781807,0.2770546491411023
R020_temp_range,2894,19122.028129339218,0.27606298450863076
Rabi_Seasons_Seasonal_average_groundwater_replenishment_rate_cm_in_2021,2815,18523.173660993576,0.2674173769036418
Kharif_Seasons_Seasonal_average_groundwater_thickness_cm_in_2022,2820,18358.848948955536,0.2650450359507415
K022_temp_min,2695,18023.040279388428,0.26019699666758983
Rabi_Seasons_Seasonal_average_groundwater_thickness_cm_in_2022,2713,17546.456204652786,0.25331659563738007
Rabi_Seasons_Seasonal_average_groundwater_thickness_cm_in_2020,2753,17490.061066627502,0.2525024241483658
Rabi_Seasons_Seasonal_average_groundwater_thickness_cm_in_2021,2695,17420.443892478943,0.25149736732392675
R022_temp_range,2626,17393.72378540039,0.2511116115632615
agri_land_density,2739,17161.463035821915,0.24775848420254667
R021_temp_range,2551,17056.35172367096,0.2462410017293623
Address_type,2633,16516.882781028748,0.238452737568877
R020_temp_max,2434,16239.26626253128,0.23444481308895654
K022_temp_max,2393,15864.716714382172,0.22903747525799945
Kharif_Seasons_Seasonal_average_groundwater_thickness_cm_in_2021,2414,15574.523557186127,0.22484798298669553
Kharif_Seasons_Cropping_density_in_2021,2309,14540.484562397003,0.20991965587259595
K021_temp_max,2162,14478.798418283463,0.20902909860891924
R021_temp_min,2112,14431.485543251038,0.208346046926389
K021_temp_min,2032,13527.110861301422,0.19528967172788217
R022_temp_min,1866,12552.173388719559,0.18121458792558934
Village_score_based_on_socio_economic_parameters_Non_normalised,1927,12279.863641262054,0.17728327681750825
Kharif_Seasons_Kharif_Season_Irrigated_area_in_2021,1883,11951.756260871887,0.17254642034720308
R020_temp_min,1739,11708.149212360382,0.1690294874986293
non_agri_land_pct,1485,9447.258937120438,0.1363892198027755
MARITAL_STATUS,1526,9137.416877031326,0.1319160581038204
REGION,29,6506.941020965576,0.09394011692270571
Kharif_Seasons_Type_of_water_bodies_in_hectares_2020,1040,6158.090346813202,0.08890379140310299
Kharif_Seasons_Type_of_water_bodies_in_hectares_2022,1034,6062.862140893936,0.08752899043755376
Kharif_Seasons_Agro_Ecological_Sub_Zone_in_2020,604,4385.173126935959,0.06330834641706065
Kharif_Seasons_Agro_Ecological_Sub_Zone_in_2022,440,3360.7620413303375,0.04851901655397427
Village_score_based_on_socio_economic_parameters_0_to_100,480,2932.733038187027,0.04233960068528317
K022_Village_category_based_on_socio_economic_parameters_Good_Average_Poor,367,2251.0740950107574,0.03249855239284229
Rabi_Seasons_Type_of_water_bodies_in_hectares_2022,267,1579.6346876621246,0.02280504261157752
Has_Bureau_Loan,247,1465.1352319717407,0.02115202436222128
Kharif_Seasons_Type_of_soil_in_2020,216,1419.8477945327759,0.020498213738390732
Kharif_Seasons_Type_of_soil_in_2022,186,1222.2124490737915,0.01764497019420362
Rabi_Seasons_Agro_Ecological_Sub_Zone_in_2022,137,1073.850626707077,0.015503084030630141
Village_category_based_on_socio_economic_parameters_Good_Average_Poor,130,808.232718706131,0.011668382401404269
Rabi_Seasons_Type_of_water_bodies_in_hectares_2021,79,438.9828803539276,0.006337555999761421
Rabi_Seasons_Agro_Ecological_Sub_Zone_in_2021,46,309.6105890274048,0.004469819972246535
Rabi_Seasons_Type_of_soil_in_2022,44,298.0043592453003,0.00430226188631188
K022_Village_category_based_on_Agri_parameters_Good_Average_Poor,32,219.01386976242065,0.003161883359152224
Kharif_Seasons_Type_of_water_bodies_in_hectares_2021,30,183.22791981697083,0.002645244847871112
R022_Village_category_based_on_Agri_parameters_Good_Average_Poor,24,141.2388687133789,0.0020390527281891105
Rabi_Seasons_Type_of_soil_in_2021,9,75.0685601234436,0.0010837579889680642
Kharif_Seasons_Agro_Ecological_Sub_Zone_in_2021,10,67.37184953689575,0.0009726412768154712
Rabi_Seasons_Type_of_water_bodies_in_hectares_2020,7,46.66783022880554,0.0006737392292472978
Kharif_Seasons_Type_of_soil_in_2021,6,33.29734992980957,0.00048071081873097947
Rabi_Seasons_Agro_Ecological_Sub_Zone_in_2020,4,25.78198003768921,0.000372212105724602
Rabi_Seasons_Type_of_soil_in_2020,1,5.682730197906494,8.204106007899695e-05
